X;ID_unique;Dim.1;Dim.2;Dim.3
122;122;-1,03366587;-0,691259693;2,564107216
123;123;0,177451304;2,077901647;1,603865229
124;124;2,341763195;1,658776355;1,072240996
125;125;2,026752124;0,612108825;0,68274737
126;126;1,757533616;1,399690982;0,534410293
127;127;1,879581193;1,895449857;1,654760722
128;128;1,003317326;0,511060505;0,847568096
129;129;1,37885445;1,62025259;-0,102289302
130;130;3,055224937;1,434277136;-0,318693565
131;131;1,485475892;0,713434436;0,075056646
132;132;2,164533445;1,233990237;1,069055027
133;133;-2,205730438;-0,367319596;0,778906865
134;134;5,016307089;2,694899063;2,411323098
135;135;3,496462176;0,451110411;0,25159812
136;136;-2,870225389;-0,05526871;0,907341141
137;137;4,297793205;3,800832201;3,060745349
138;138;3,240189474;1,694546611;1,153621361
139;139;-1,183933234;-0,938463878;1,605037469
140;140;1,129171113;-0,322505133;0,693256222
141;141;0,251391672;1,373896252;0,467525823
142;142;-1,402990944;-0,092913944;0,542265415
143;143;-1,152817092;0,044371658;0,864045465
144;144;-3,032522833;0,043723159;-0,034847193
145;145;-1,943472522;-0,19607952;1,064311609
146;146;-1,184030015;-0,173230875;1,285915437
147;147;-1,94076529;-0,533451443;0,584128316
148;148;-2,488429562;0,741080149;0,593442117
149;149;-3,865864772;0,735569819;0,06014621
150;150;-1,464952507;-0,090104894;1,512568566
151;151;-1,006368067;-0,652663822;1,911870837
152;152;-2,210287281;-0,086824436;1,449655107
153;153;-1,346724916;-0,464585369;2,016433202
154;154;-2,596252173;0,146658807;0,828725241
155;155;-2,069690895;0,46497549;0,712029787
156;156;-3,165053133;0,019397111;0,348276224
157;157;-4,171716146;0,021577134;0,310216622
158;158;-3,193144611;-0,343452204;1,010313208
159;159;-4,361331926;0,286299569;0,133630819
160;160;-3,616266248;0,137899485;0,084711956
161;161;-4,238056043;0,538363095;0,958666566
162;162;-2,058314615;2,744407674;0,348057033
163;163;2,485507729;1,663281941;-0,486103688
164;164;2,388207339;1,886577088;-0,632160819
165;165;-2,178212675;0,060737067;0,480519956
166;166;4,025661467;0,901927304;1,169521019
167;167;-1,497431132;0,018755466;-0,345331677
168;168;0,267089682;0,709636163;2,476196163
