X;ID_unique;Dim.1;Dim.2;Dim.3
22817;22817;-0,332808694;0,390437633;-0,196878605
22818;22818;-0,367154829;-0,271678702;0,004354213
22819;22819;-0,411293328;-0,356607934;-0,086681037
22820;22820;-0,436939151;-0,409396132;0,04883534
22821;22821;-0,317992638;-0,217442826;-0,0944259
22822;22822;-0,357368031;-0,449019349;0,100098279
22823;22823;-0,44778885;-0,237543106;-0,06815648
22824;22824;-0,432314941;-0,355444413;-0,110171808
22825;22825;-0,374754184;-0,129743242;-0,073809377
22826;22826;-0,453984296;-0,195346179;0,0008177
22827;22827;-0,375462486;-0,330939771;-0,060506195
22828;22828;-0,392360761;-0,412199148;0,19056923
22829;22829;-0,333724616;-0,453622555;0,19673197
22830;22830;-0,442495323;-0,434983504;0,079789495
22831;22831;-0,340969492;0,003318773;0,066077626
22832;22832;-0,362918408;-0,32964739;-0,02346106
22833;22833;-0,399705998;-0,091146615;-0,290921505
22834;22834;-0,39503192;-0,299595043;-0,08008211
22835;22835;-0,468684995;-0,385097321;0,00190775
22836;22836;-0,441426628;-0,40637239;-0,034772597
22837;22837;-0,308517872;-0,417504274;0,034692571
22838;22838;-0,349501314;0,025355362;-0,038993555
22839;22839;-0,304537593;0,190019432;0,133704525
22840;22840;-0,364544369;-0,327486011;0,088854601
22841;22841;-0,424155086;-0,364955018;-0,055271702
22842;22842;-0,414714975;-0,182249509;-0,01331193
22843;22843;-0,301981153;-0,161239528;0,168080217
22844;22844;-0,412682158;-0,248076034;-0,06561012
22845;22845;-0,424419438;-0,296701978;-0,034399133
22846;22846;-0,342047203;0,132616219;0,14237589
22847;22847;-0,34617738;0,185017077;0,142926343
22848;22848;-0,318187884;0,006198566;-0,187351803
22849;22849;-0,421015477;-0,326912722;0,040858771
22850;22850;-0,406978806;-0,375119905;0,030246365
22851;22851;-0,216618337;0,136699871;0,201163305
22852;22852;-0,213943075;0,209283851;0,241852834
22853;22853;-0,176607381;0,26576218;0,04849165
22854;22854;-0,221760594;0,273355725;0,050024351
22855;22855;-0,312247222;0,243191338;0,082634818
22856;22856;-0,348907366;0,166774764;0,04750932
22857;22857;-0,439097878;0,283743438;0,087354301
22858;22858;-0,367408181;0,305266262;0,082510178
22859;22859;-0,380098574;0,14137525;0,024137944
22860;22860;-0,340889261;0,277032015;-0,015240513
22861;22861;-0,278788842;-0,005559873;0,01180887
22862;22862;-0,377534207;-0,075776578;0,226770028
22863;22863;-0,26553479;0,041985385;0,152863407
22864;22864;-0,225206429;0,378164322;-0,023163896
22865;22865;-0,341408083;0,322697892;0,088929994
22866;22866;-0,23003497;0,436855996;0,068951153
22867;22867;-0,312001181;0,34859354;-0,028381516
22868;22868;-0,306793666;0,304897652;0,113971848
22869;22869;-0,291317382;0,4681375;-0,019636406
22870;22870;-0,330904697;0,178888047;0,091978297
22871;22871;-0,123875574;0,330526417;0,193860585
22872;22872;0,159966937;0,475764727;0,360744492
22873;22873;0,069265026;0,381819651;0,35749933
22874;22874;-0,033620352;0,454914362;0,427572382
22875;22875;0,001835865;0,385769676;0,50221037
22876;22876;-0,042610615;0,31050298;0,412033831
22877;22877;-0,110394749;0,386823374;0,43165714
22878;22878;-0,154543802;0,302079568;-0,077479741
22879;22879;-0,13385678;0,424424322;0,068888092
22880;22880;-0,137530627;0,423476543;0,342635617
22881;22881;-0,188991607;0,370100949;0,328817228
22882;22882;-0,17996355;0,420882357;0,445979134
22883;22883;-0,13626016;0,538873677;0,182428816
22884;22884;-0,242924588;0,394398085;0,368439801
22885;22885;-0,189895708;0,457870762;0,299821083
22886;22886;-0,172958754;0,418801054;0,329465791
22887;22887;-0,099526878;0,343850572;0,441540632
22888;22888;-0,073947624;0,363864209;0,474857668
22889;22889;-0,144488495;0,417359749;0,362566862
22890;22890;-0,261306616;0,373026404;0,336417511
22891;22891;-0,342387662;0,409088918;0,084776653
22892;22892;-0,374956731;0,09928664;-0,250565127
22893;22893;-0,267982029;0,293138989;-0,379516587
22894;22894;-0,392204732;0,141098699;-0,140582278
22895;22895;-0,388191852;0,105520284;-0,303679969
22896;22896;-0,31841311;0,301220089;-0,096946675
22897;22897;-0,416683203;0,27024956;-0,104317117
22898;22898;-0,422328704;0,227751706;-0,101557359
22899;22899;-0,332455239;0,372401533;-0,326435302
22900;22900;-0,333271775;0,301505027;-0,403879112
22901;22901;-0,204118061;0,410850509;0,304821416
22902;22902;-0,347571963;0,319287785;-0,392278215
22903;22903;-0,339380131;-0,036805819;-0,474570251
22904;22904;-0,248888056;0,030896641;-0,53659293
22905;22905;-0,26752188;0,328513212;0,225254161
22906;22906;-0,323030506;0,170984892;-0,462365934
22907;22907;-0,410086843;0,068453014;-0,27126523
22908;22908;-0,31933051;0,101410859;-0,35101645
22909;22909;-0,141945239;0,234602991;-0,253525799
22910;22910;-0,013017028;0,223238111;0,449254687
22911;22911;-0,288979048;0,482239295;0,037619616
22912;22912;-0,108551701;0,337579744;0,498890833
22913;22913;-0,061006694;0,443984949;0,439031509
22914;22914;-0,109022396;0,321707043;0,510012141
22915;22915;-0,127951022;0,449932593;0,431345564
22916;22916;-0,324485142;0,451259561;0,155221138
22917;22917;-0,210827697;0,511115195;0,270395695
22918;22918;-0,197198313;0,407587938;0,340256351
22919;22919;-0,184633044;0,380360097;0,328793364
22920;22920;-0,022760476;0,365178722;0,395623224
22921;22921;-0,15753966;0,343435606;0,377362291
22922;22922;-0,15020147;0,451765569;0,332051882
